Departure,Return,Airline,Duration,Transit,Price,Competitor Price
2025-04-02,2025-04-09,Turkish Airlines,18h 00m,1 stop,"$1,231",N/A
2025-04-02,2025-04-09,Qatar Airways,27h 25m,1 stop,"$1,401",N/A
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1 stop,"$1,171",N/A
2025-04-02,2025-04-09,Qatar Airways,21h 50m,1 stop,"$1,204",N/A
2025-04-02,2025-04-09,"MEA, Qatar Airways",24h 55m,1 stop,"$1,171",N/A
2025-04-02,2025-04-09,Turkish Airlines,26h 40m,1 stop,"$1,329",N/A
2025-04-02,2025-04-09,Turkish Airlines,18h 00m,1 stop,"$1,231",N/A
2025-04-02,2025-04-09,Turkish Airlines,20h 45m,1 stop,"$1,180",N/A
2025-04-02,2025-04-09,Turkish Airlines,30h 10m,1 stop,"$1,475",N/A
2025-04-02,2025-04-09,Air France,17h 30m,1 stop,"$1,393",$1
2025-04-02,2025-04-09,Air France,20h 25m,1 stop,$992,$1
2025-04-02,2025-04-09,Air France,35h 05m,1 stop,"$1,513",$1
2025-04-02,2025-04-09,Air France,36h 20m,1 stop,"$1,151",$1
2025-04-02,2025-04-09,Air France,17h 30m,1 stop,"$1,114",$1
2025-04-02,2025-04-09,Air France,18h 10m,1 stop,"$1,416",$1
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1 stop,"$1,166",$1
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1 stop,"$1,186",$1
2025-04-02,2025-04-09,Qatar Airways,21h 50m,1 stop,"$1,163",$1
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1 stop,"$1,151",$1
2025-04-02,2025-04-09,Turkish Airlines,20h 45m,1 stop,"$1,151",$1
2025-04-02,2025-04-09,Turkish Airlines,18h 00m,1 stop,"$1,536",$1
2025-04-02,2025-04-09,Turkish Airlines,20h 45m,1 stop,"$1,114",$1
2025-04-02,2025-04-09,Turkish Airlines,23h 55m,1 stop,"$1,163",$1
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1 stop,"$1,127",$1
2025-04-02,2025-04-09,Qatar Airways,24h 55m,1 stop,"$1,327",$1
2025-04-02,2025-04-09,Air France,17h 30m,1 stop,"$1,327",$1
2025-04-02,2025-04-09,Air France,29h 20m,1 stop,"$1,163",$2
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1 stop,"$1,616",$1
2025-04-02,2025-04-09,Qatar Airways,27h 40m,1 stop,"$1,092",$1
2025-04-02,2025-04-09,Qatar Airways,21h 50m,1 stop,"$1,291",$1
2025-04-02,2025-04-09,Qatar Airways,24h 55m,1 stop,"$1,278",$1
2025-04-02,2025-04-09,Turkish Airlines,20h 45m,1 stop,"$1,122",$1
2025-04-02,2025-04-09,Turkish Airlines,19h 35m,1 stop,"$1,726",$1
2025-04-02,2025-04-09,Qatar Airways,21h 50m,1 stop,"$1,188",$1
2025-04-02,2025-04-09,Qatar Airways,27h 40m,1 stop,"$1,127",$1
2025-04-02,2025-04-09,Air France,17h 30m,1 stop,"$1,163",$1
2025-04-02,2025-04-09,Air France,31h 05m,1 stop,"$1,316",$1
2025-04-02,2025-04-09,Qatar Airways,23h 55m,2 stops,"$1,242",$1
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1 stop,"$1,092",$1
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1 stop,"$1,404",$1
2025-04-02,2025-04-09,"MEA, Qatar Airways",24h 55m,1 stop,"$1,413",$1
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1 stop,"$1,085",$1
2025-04-02,2025-04-09,"MEA, Qatar Airways",24h 55m,1 stop,"$1,389",$1
2025-04-02,2025-04-09,Air France,17h 30m,1 stop,"$1,124",$1
2025-04-02,2025-04-09,Air France,31h 05m,1 stop,"$1,313",$1
