Departure,Return,Airline,Duration,Transit,Price,Competitor Price
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,342",N/A
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,"$1,057",N/A
2025-03-31,2025-04-07,Turkish Airlines,8h 50m,1 stop,"$1,138",N/A
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1 stop,"$1,167",N/A
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,388",N/A
2025-03-31,2025-04-07,"Iberia, Qatar Airways",11h 55m,1 stop,"$1,187",N/A
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,373",N/A
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,"$1,246",N/A
2025-03-31,2025-04-07,Turkish Airlines,10h 45m,1 stop,"$1,397",N/A
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,"$1,274",N/A
2025-03-31,2025-04-07,Turkish Airlines,10h 35m,1 stop,"$1,274",N/A
2025-03-31,2025-04-07,Etihad Airways,18h 40m,1 stop,"$1,287",N/A
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,187",N/A
2025-03-31,2025-04-07,Etihad Airways,18h 40m,1 stop,"$1,503",N/A
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,277",N/A
2025-03-31,2025-04-07,Etihad Airways,18h 40m,1 stop,"$1,277",N/A
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,521",N/A
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1 stop,"$1,012",N/A
2025-03-31,2025-04-07,Pegasus Airlines,8h 20m,1 stop,"$1,325",N/A
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1 stop,"$1,523",N/A
2025-03-31,2025-04-07,TAROM,7h 55m,1 stop,"$1,330",N/A
2025-03-31,2025-04-07,Turkish Airlines,18h 00m,1 stop,"$1,526",N/A
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1 stop,"$1,138",$1
2025-03-31,2025-04-07,Pegasus Airlines,8h 20m,1 stop,$947,$1
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,$788,$1
2025-03-31,2025-04-07,Turkish Airlines,7h 10m,1 stop,$947,$1
2025-03-31,2025-04-07,Air Europa,18h 40m,2 stops,"$1,057",$1
2025-03-31,2025-04-07,Pegasus Airlines,11h 25m,1 stop,"$1,077",$1
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,"$1,136",$1
2025-03-31,2025-04-07,Turkish Airlines,7h 55m,1 stop,"$1,274",$1
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,"$1,274",$1
2025-03-31,2025-04-07,Turkish Airlines,7h 55m,1 stop,"$1,077",$1
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,"$1,277",$1
2025-03-31,2025-04-07,Turkish Airlines,7h 35m,1 stop,$947,$1
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,"$1,277",$1
2025-03-31,2025-04-07,Turkish Airlines,7h 35m,1 stop,"$1,136",$1
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1 stop,"$1,325",$1
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,330",$1
